Date,Day of Week,Whoop Recovery,HRV,Hours of Sleep,Body Weight,Body Fat %,Body Water %,Hydration Score (urine),Sick Feeling,Soreness/Fatigue Score,Fitness Rating,Positivity Score (1-10),Confidence Score,Caffeine in mg,Water Before Coffee?,Breakfast Before Coffee?,Devo Quality (1-10),Game?,Lift?,Protein Shake?,Fun Rating,Family Love Rating,Tired Rating,Strain,Alcohol (# of Drinks),CBD (mg),Melatonin,Thought of the Day,Game Notes,Current BA
4/14/2022,2,99,61,8.95,174.5,,,7,2,3,4,6,7,300,1,1,7,1,0,0,7,7,5,15.7,0,0,0,,,0.471
4/15/2022,3,81,51,9.05,,,,7,1,3,6,8,8,250,1,1,8,1,1,0,2,6,8,17.5,0,0,0,,,0.364
4/16/2022,4,82,51,8.33,,,,5,1,3,5,2,3,250,1,1,2,1,0,0,4,6,6,13.9,2,0,0,,,0.360
4/17/2022,5,76,51,7.32,,,,5,2,2,4,5,8,250,1,1,4,0,0,0,8,8,3,5.5,1,0,0,,,0.360
4/18/2022,6,77,51,6.92,,,,4,1,1,5,7,7,250,0,0,7,0,0,0,7,8,4,5.2,0,0,0,,,0.360
4/19/2022,0,85,52,8.72,,,,4,1,2,4,7,6,200,1,1,6,0,1,1,7,7,3,8.7,0,0,0,,,0.360
4/20/2022,1,52,42,8.53,,,,5,1,3,4,6,7,100,1,1,8,1,0,1,6,8,4,14.8,0,0,0,,,0.333
4/21/2022,2,83,52,8.30,,,,4,1,3,5,7,6,250,1,1,7,1,0,2,3,6,7,15.3,0,0,0,,,0.300
4/22/2022,3,60,46,9.08,179.5,,,6,1,4,6,7,7,250,1,1,1,0,1,1,9,7,3,9.6,0,0,0,,,0.300
4/23/2022,4,73,49,8.48,179.4,,,4,2,4,6,6,6,250,1,1,8,1,0,1,7,6,3,14.5,0,0,0,,,0.314
4/24/2022,5,,,,,,,,,,,,,,,,,0,0,1,6,6,6,5.5,0,0,0,,,0.314
4/25/2022,6,63,43,6.28,176.0,,,4,2,3,5,8,8,200,1,1,6,0,0,0,9,8,5,9.9,2,0,0,,,0.314
